parents_count	thing_to
1	/thing:12746
1	/thing:12750
1	/thing:12754
1	/thing:12756
1	/thing:12758
1	/thing:12761
1	/thing:12764
1	/thing:12770
1	/thing:12775
1	/thing:12778
1	/thing:12791
1	/thing:12793
1	/thing:12804
1	/thing:12807
1	/thing:12812
1	/thing:12816
1	/thing:12817
1	/thing:12823
1	/thing:12833
1	/thing:12844
1	/thing:12845
1	/thing:12852
1	/thing:12853
1	/thing:12855
1	/thing:12856
1	/thing:12857
1	/thing:12859
1	/thing:12860
1	/thing:12862
1	/thing:12865
1	/thing:12868
1	/thing:12872
1	/thing:12873
1	/thing:12874
1	/thing:12876
1	/thing:1288
1	/thing:12889
1	/thing:12890
1	/thing:12896
1	/thing:12899
1	/thing:1290
1	/thing:12903
1	/thing:12906
1	/thing:12907
1	/thing:12910
1	/thing:12920
1	/thing:12924
1	/thing:12930
1	/thing:12936
1	/thing:12941
1	/thing:12952
1	/thing:12954
1	/thing:12958
1	/thing:12959
1	/thing:12960
1	/thing:12963
1	/thing:12975
1	/thing:12979
1	/thing:1298
1	/thing:12981
1	/thing:12986
1	/thing:12990
1	/thing:13004
1	/thing:13009
1	/thing:13011
1	/thing:13023
1	/thing:13025
1	/thing:13030
1	/thing:13042
1	/thing:13051
1	/thing:13054
1	/thing:13062
1	/thing:13065
1	/thing:13079
1	/thing:13081
1	/thing:13092
1	/thing:13093
1	/thing:13111
1	/thing:13125
1	/thing:13144
1	/thing:13190
1	/thing:13191
1	/thing:13203
1	/thing:13206
1	/thing:13224
1	/thing:13227
1	/thing:13232
1	/thing:13235
1	/thing:13251
1	/thing:13255
1	/thing:13261
1	/thing:13262
1	/thing:13265
1	/thing:13280
1	/thing:13283
1	/thing:13300
1	/thing:13301
1	/thing:13302
1	/thing:13307
1	/thing:13311
1	/thing:1332
1	/thing:13321
1	/thing:13332
1	/thing:13336
1	/thing:13340
1	/thing:13343
1	/thing:13346
1	/thing:13347
1	/thing:13348
1	/thing:13351
1	/thing:13353
1	/thing:13356
1	/thing:13358
1	/thing:13368
1	/thing:13370
1	/thing:13381
1	/thing:13386
1	/thing:13394
1	/thing:13404
1	/thing:13407
1	/thing:13420
1	/thing:13425
1	/thing:13429
1	/thing:13440
1	/thing:13442
1	/thing:13443
1	/thing:13450
1	/thing:13453
1	/thing:13456
1	/thing:13468
1	/thing:13476
1	/thing:13477
1	/thing:13478
1	/thing:13482
1	/thing:13484
1	/thing:13485
1	/thing:1349
1	/thing:13493
1	/thing:13496
1	/thing:13497
1	/thing:13501
1	/thing:13514
1	/thing:1352
1	/thing:13528
1	/thing:13530
1	/thing:13531
1	/thing:13555
1	/thing:13559
1	/thing:13569
1	/thing:13572
1	/thing:13578
1	/thing:13592
1	/thing:13602
1	/thing:13616
1	/thing:13624
1	/thing:13631
1	/thing:13639
1	/thing:13643
1	/thing:13654
1	/thing:13660
1	/thing:13664
1	/thing:13673
1	/thing:13677
1	/thing:13680
1	/thing:13681
1	/thing:13698
1	/thing:13707
1	/thing:13708
1	/thing:13709
1	/thing:13710
1	/thing:13714
1	/thing:13727
1	/thing:13730
1	/thing:13751
1	/thing:13754
1	/thing:13760
1	/thing:13770
1	/thing:13771
1	/thing:13777
1	/thing:13778
1	/thing:13787
1	/thing:13792
1	/thing:13802
1	/thing:13803
1	/thing:13805
1	/thing:13806
1	/thing:13807
1	/thing:13810
1	/thing:13811
1	/thing:13813
1	/thing:13828
1	/thing:13835
1	/thing:13837
1	/thing:13850
1	/thing:13852
1	/thing:13854
1	/thing:13856
1	/thing:13870
1	/thing:13893
1	/thing:13895
1	/thing:13898
1	/thing:1391
1	/thing:13910
1	/thing:13921
1	/thing:13926
1	/thing:13939
1	/thing:13940
1	/thing:13955
1	/thing:13956
1	/thing:13959
1	/thing:13974
1	/thing:13975
1	/thing:13979
1	/thing:13990
1	/thing:13994
1	/thing:14002
1	/thing:14011
1	/thing:14012
1	/thing:14018
1	/thing:14048
1	/thing:14066
1	/thing:14072
1	/thing:14074
1	/thing:14077
1	/thing:14078
1	/thing:1409
1	/thing:14090
1	/thing:14098
1	/thing:14104
1	/thing:14106
1	/thing:14109
1	/thing:14111
1	/thing:14118
1	/thing:14135
1	/thing:14152
1	/thing:1416
1	/thing:14162
1	/thing:14174
1	/thing:14177
1	/thing:14179
1	/thing:14181
1	/thing:14204
1	/thing:14211
1	/thing:14227
1	/thing:14228
1	/thing:14230
1	/thing:14232
1	/thing:14235
1	/thing:14236
1	/thing:14246
1	/thing:14248
1	/thing:14253
1	/thing:14259
1	/thing:14267
1	/thing:14268
1	/thing:1427
1	/thing:14283
1	/thing:14293
1	/thing:14296
1	/thing:14298
1	/thing:14303
1	/thing:14314
1	/thing:14315
1	/thing:14316
1	/thing:14317
1	/thing:14318
1	/thing:1432
1	/thing:14320
1	/thing:14322
1	/thing:14326
1	/thing:14335
1	/thing:14338
1	/thing:14342
1	/thing:14343
1	/thing:1435
1	/thing:14364
1	/thing:14374
1	/thing:14405
1	/thing:14416
1	/thing:14421
1	/thing:14423
1	/thing:14427
1	/thing:14428
1	/thing:1443
1	/thing:14437
1	/thing:14442
1	/thing:14448
1	/thing:14451
1	/thing:14457
1	/thing:14468
1	/thing:14470
1	/thing:14471
1	/thing:14472
1	/thing:14477
1	/thing:14484
1	/thing:14485
1	/thing:1449
1	/thing:14492
1	/thing:14499
1	/thing:14501
1	/thing:14502
1	/thing:14503
1	/thing:14508
1	/thing:14528
1	/thing:14537
1	/thing:14555
1	/thing:14559
1	/thing:14562
1	/thing:14581
1	/thing:14585
1	/thing:14586
1	/thing:14591
1	/thing:14596
1	/thing:14599
1	/thing:14600
1	/thing:14601
1	/thing:14616
1	/thing:14622
1	/thing:14629
1	/thing:14635
1	/thing:14637
1	/thing:14639
1	/thing:14645
1	/thing:14651
1	/thing:14657
1	/thing:1466
1	/thing:14665
1	/thing:14666
1	/thing:14668
1	/thing:14673
1	/thing:14676
1	/thing:14681
1	/thing:14684
1	/thing:14700
1	/thing:14711
1	/thing:14713
1	/thing:14723
1	/thing:14724
1	/thing:14725
1	/thing:14744
1	/thing:14745
1	/thing:14756
1	/thing:1476
1	/thing:14760
1	/thing:14766
1	/thing:14779
1	/thing:14789
1	/thing:14792
1	/thing:14793
1	/thing:14800
1	/thing:14804
1	/thing:14805
1	/thing:14812
1	/thing:14827
1	/thing:14831
1	/thing:14833
1	/thing:14835
1	/thing:14841
1	/thing:14868
1	/thing:14870
1	/thing:14875
1	/thing:14879
1	/thing:14881
1	/thing:14890
1	/thing:1490
1	/thing:14916
1	/thing:14917
1	/thing:14919
1	/thing:14921
1	/thing:14935
1	/thing:14942
1	/thing:14943
1	/thing:14950
1	/thing:14954
1	/thing:14960
1	/thing:14966
1	/thing:14973
1	/thing:14985
1	/thing:14986
1	/thing:14992
1	/thing:14993
1	/thing:14994
1	/thing:14996
1	/thing:14997
1	/thing:15005
1	/thing:15010
1	/thing:15014
1	/thing:15031
1	/thing:1504
1	/thing:15061
1	/thing:15066
1	/thing:15079
1	/thing:15083
1	/thing:15084
1	/thing:15086
1	/thing:15087
1	/thing:15113
1	/thing:15118
1	/thing:15121
1	/thing:15124
1	/thing:15132
1	/thing:15133
1	/thing:15139
1	/thing:15142
1	/thing:15144
1	/thing:15150
1	/thing:15153
1	/thing:15154
1	/thing:15156
1	/thing:15175
1	/thing:1519
1	/thing:15190
1	/thing:15197
1	/thing:15201
1	/thing:15203
1	/thing:15205
1	/thing:15218
1	/thing:15219
1	/thing:15221
1	/thing:15222
1	/thing:15223
1	/thing:1524
1	/thing:15241
1	/thing:15248
1	/thing:15252
1	/thing:15258
1	/thing:15262
1	/thing:15264
1	/thing:15269
1	/thing:15270
1	/thing:15273
1	/thing:15274
1	/thing:15279
1	/thing:15282
1	/thing:15284
1	/thing:15285
1	/thing:15298
1	/thing:15309
1	/thing:15323
1	/thing:15327
1	/thing:15331
1	/thing:15337
1	/thing:15341
1	/thing:15356
1	/thing:15362
1	/thing:15375
1	/thing:1538
1	/thing:15391
1	/thing:15395
1	/thing:15405
1	/thing:15407
1	/thing:15408
1	/thing:15414
1	/thing:15416
1	/thing:15418
1	/thing:15420
1	/thing:15427
1	/thing:15431
1	/thing:15455
1	/thing:15459
1	/thing:15477
1	/thing:1548
1	/thing:15492
1	/thing:15498
1	/thing:15508
1	/thing:15511
1	/thing:15516
1	/thing:15528
1	/thing:15534
1	/thing:15536
1	/thing:15537
1	/thing:15538
1	/thing:15541
1	/thing:15550
1	/thing:15552
1	/thing:15557
1	/thing:15559
1	/thing:15564
1	/thing:15568
1	/thing:15570
1	/thing:15580
1	/thing:15592
1	/thing:15596
1	/thing:15597
1	/thing:15598
1	/thing:15625
1	/thing:15634
1	/thing:15636
1	/thing:15637
1	/thing:15650
1	/thing:15658
1	/thing:15660
1	/thing:15668
1	/thing:15681
1	/thing:15683
1	/thing:15684
1	/thing:15688
1	/thing:15701
1	/thing:15710
1	/thing:15712
1	/thing:15717
1	/thing:15718
1	/thing:15720
1	/thing:15748
1	/thing:15753
1	/thing:15755
1	/thing:15769
1	/thing:15770
1	/thing:15775
1	/thing:1578
1	/thing:15784
1	/thing:15785
